,Year,Month,Day of Month,Date,State,Magnitude on F/EF scale,Number of injuries,Number of fatalities,Starting latitude,Starting longitude,Ending latitude,Ending longitude,Track length in KM,Tornado width in meters,Starting location,Ending location
33921,1994,7,27,27/07/1994,MD,0,0,0,38.98,-76.63,39.07,-76.57,8.05,91.44,"Rutland Road,Rutland,Anne Arundel County,Maryland,21035","Sycamore Road,Colchester on the Severn,Anne Arundel County,Maryland,21146"
33924,1994,7,27,27/07/1994,MD,1,0,0,38.72,-76.92,38.82,-76.88,9.66,137.16,"Tippett Road, ,Prince George's County,Maryland,20735","Fairbanks Street, ,Prince George's County,Maryland,20762"
33926,1994,7,27,27/07/1994,MD,1,1,0,38.88,-76.8,38.95,-76.67,9.66,91.44,"Largo Road, ,Prince George's County,Maryland,20774","Governors Bridge Road,Hanson Hills,Anne Arundel County,Maryland,21035"
33931,1994,7,27,27/07/1994,MD,2,0,0,39.08,-76.53,39.17,-76.43,11.27,182.88,"Marie Avenue,Longmeadow North,Anne Arundel County,Maryland,21146"," , ,Anne Arundel County,Maryland,21122"
33932,1994,7,27,27/07/1994,MD,2,0,0,39.28,-76.1,39.33,-76.03,6.44,137.16,"Plum Drive,Butlertown,Kent County,Maryland,21678","Old Still Pond Road, ,Kent County,Maryland,21667"
33933,1994,7,27,27/07/1994,PA,1,0,0,39.97,-75.7,40.02,-75.65,5.63,91.44,"Shadyside Road, ,Chester County,Pennsylvania,19335","Creamery Way,Belvidere,Chester County,Pennsylvania,19341"
33934,1994,7,27,27/07/1994,PA,3,11,0,39.73,-75.78,39.8,-75.75,6.44,91.44,"Chambers Rock Road,Strickersville,Chester County,Pennsylvania,19350","Newark Road, ,Chester County,Pennsylvania,19350"
33940,1994,7,27,27/07/1994,VA,1,0,0,38.23,-77.42,38.27,-77.35,6.44,137.16,"Wheatland Woods Drive, ,Spotsylvania County,Virginia,22408","Hollywood Farm Road,Wildcat Corner,Stafford County,Virginia,22405"
33961,1994,8,7,07/08/1994,IA,3,1,0,43.47,-95.85,43.42,-95.77,7.24,66.75,"120th Street, ,Osceola County,Iowa,51249","160th Street, ,Osceola County,Iowa,51243"
33968,1994,8,7,07/08/1994,MN,1,0,0,43.62,-95.72,43.72,-95.73,9.66,457.2,"260th Street, ,Nobles County,Minnesota,56187","190th Street, ,Nobles County,Minnesota,56168"
33971,1994,8,7,07/08/1994,MN,2,0,0,43.95,-94.08,0,0,8.05,36.58,"137th Street, ,Blue Earth County,Minnesota,56037"," , , , , "
34007,1994,8,16,16/08/1994,SC,1,1,0,33.13,-81.15,33.23,-81.18,8.05,66.75,"Wild Flower Road, ,Bamberg County,South Carolina, "," , ,Bamberg County,South Carolina, "
34011,1994,8,16,16/08/1994,SC,1,0,0,34.6,-81.47,34.98,-81.82,48.28,137.16,"Spring Street, ,Union County,South Carolina,29031","South Main Street,Clifton,Spartanburg County,South Carolina,29324"
34017,1994,8,16,16/08/1994,SC,2,0,0,35.12,-81.5,35.18,-81.53,6.44,91.44,"Columbia Street,Easterly Heights,Cherokee County,South Carolina,29702","Knoll Drive, ,Cleveland County,North Carolina,28038"
34018,1994,8,16,16/08/1994,SC,2,1,0,34.82,-81.65,34.93,-81.5,16.09,137.16,"Peach Shed Road,Lockhart Junction,Union County,South Carolina,29353","Gilkey Road, ,Cherokee County,South Carolina, "
34019,1994,8,16,16/08/1994,SC,3,40,0,33.93,-81.23,34.07,-81.28,12.87,402.34,"Deer Meadow Lane, ,Lexington County,South Carolina,29073"," , ,Lexington County,South Carolina, "
34021,1994,8,16,16/08/1994,SC,3,0,0,34.63,-81.52,34.98,-81.82,48.28,228.6,"Red Maple Road,Santuc,Union County,South Carolina, ","South Main Street,Clifton,Spartanburg County,South Carolina,29324"
34029,1994,8,17,17/08/1994,VA,2,10,0,36.68,-79.87,36.73,-79.8,6.92,274.32,"Virginia Street, , ,Virginia,24112","Mountain Mist Drive, ,Henry County,Virginia,24112"
34054,1994,8,27,27/08/1994,WI,1,0,0,45.35,-87.95,45.38,-87.92,6.44,66.75,"Martin Road, ,Marinette County,Wisconsin,54177","Pike River Road, ,Marinette County,Wisconsin,54177"
34055,1994,8,27,27/08/1994,WI,1,3,0,43.73,-90.01,43.71,-89.91,8.85,91.44,"US 12;WI 16, ,Juneau County,Wisconsin,53948","Lyndon Smith Road, ,Juneau County,Wisconsin,53944"
34056,1994,8,27,27/08/1994,WI,2,0,0,43.9,-89.37,44.02,-89.2,16.09,1591.06,"12th Lane, ,Marquette County,Wisconsin,53949","County Road YY, ,Waushara County,Wisconsin, "
34057,1994,8,27,27/08/1994,WI,2,0,0,43.88,-89.17,44.02,-89.02,16.09,1591.06,"Eagle Lane, ,Marquette County,Wisconsin,54968"," , ,Waushara County,Wisconsin,54970"
34058,1994,8,27,27/08/1994,WI,3,25,2,44.65,-91.42,44.77,-91.3,16.09,640.08,"County Road I, ,Eau Claire County,Wisconsin,54738","US 12, ,Eau Claire County,Wisconsin,54703"
34059,1994,8,27,27/08/1994,WI,3,22,2,44.1,-89.92,44.22,-89.8,16.9,777.24,"18th Avenue, ,Adams County,Wisconsin,54613","Alpine Drive, ,Adams County,Wisconsin,54457"
34094,1994,9,26,26/09/1994,PA,1,0,0,41.5,-78.13,41.5,-78.05,6.44,91.44,"Hunts Run Road,Cameron,Cameron County,Pennsylvania, ","North Berg Run Road,Berge Run,Potter County,Pennsylvania, "
34095,1994,9,26,26/09/1994,PA,2,0,0,40.7,-78.62,40.75,-78.62,5.63,274.32,"Saint Lawrence Road,Saint Lawrence,Cambria County,Pennsylvania,16640","Punkin Ridge Road,McPherron,Clearfield County,Pennsylvania,15753"
34106,1994,10,5,05/10/1994,CO,2,0,0,39.23,-102.6,39.27,-102.47,10.14,91.44,"County Road P, ,Kit Carson County,Colorado, ","County Road T, ,Kit Carson County,Colorado, "
34113,1994,10,6,06/10/1994,SD,1,0,0,45.4,-96.82,45.48,-96.75,12.87,91.44,"469th Avenue, ,Roberts County,South Dakota,57279"," , ,Roberts County,South Dakota, "
34129,1994,10,17,17/10/1994,NE,2,0,0,40.45,-99.38,40.52,-99.37,6.44,66.75,"Burlington Street, ,Phelps County,Nebraska,68949","738 Road, ,Phelps County,Nebraska,68940"
34146,1994,10,30,30/10/1994,FL,0,0,0,29.48,-82.3,29.5,-82.2,8.05,18.29,"Northwest 160 Ct Road, ,Marion County,Florida,32667"," , ,Alachua County,Florida, "
34172,1994,11,27,27/11/1994,AR,1,3,0,36.1,-91.48,36.2,-91.28,9.66,91.44,"Hulett Road, ,Sharp County,Arkansas,72569"," , ,Lawrence County,Arkansas, "
34173,1994,11,27,27/11/1994,AR,1,3,0,34.23,-91.37,34.32,-91.12,25.75,66.75,"Lester M Road, ,Arkansas County,Arkansas,72055","Ethel Road,Hortons Landing,Arkansas County,Arkansas,72048"
34175,1994,11,27,27/11/1994,AR,1,2,0,35.15,-90.18,35.22,-90.12,8.05,45.72,"North 4th Street, ,Crittenden County,Arkansas,72301","Marion Lake Road, ,Crittenden County,Arkansas, "
34177,1994,11,27,27/11/1994,MS,0,0,0,32.95,-90.43,32.98,-90.17,24.14,91.44,"West Street, ,Humphreys County,Mississippi,39166"," , ,Holmes County,Mississippi, "
34178,1994,11,27,27/11/1994,MS,0,0,0,32.27,-90.25,32.35,-90.13,12.87,45.72,"McDowell Park Circle, ,Hinds County,Mississippi,39204","Irving Place,East Manor Estates,Hinds County,Mississippi,39211"
34179,1994,11,27,27/11/1994,MS,1,0,0,32.6,-89.12,32.77,-88.88,25.75,91.44,"MS 15,Neshoba,Neshoba County,Mississippi,39365","Jeff Davis Road, ,Kemper County,Mississippi, "
34180,1994,11,27,27/11/1994,MS,1,2,0,32.73,-91.03,32.7,-90.92,11.27,182.88,"Mississippi Highway 1,Ashland,Issaquena County,Mississippi,39113"," ,Smedes,Sharkey County,Mississippi, "
34181,1994,11,27,27/11/1994,MS,1,0,0,32.05,-91.02,32.13,-90.78,28.97,137.16," , ,Claiborne County,Mississippi, "," , ,Claiborne County,Mississippi, "
34182,1994,11,27,27/11/1994,MS,1,0,0,32.4,-90.23,32.43,-89.93,32.19,182.88,"West County Line Road,Lakeover,Hinds County,Mississippi,39157","MS Hwy 25, ,Rankin County,Mississippi,39047"
34183,1994,11,27,27/11/1994,MS,3,0,2,31.88,-89.75,32.22,-89.17,64.37,182.88,"Sanatorium Road, ,Simpson County,Mississippi,39111"," , ,Jasper County,Mississippi, "
34186,1994,11,27,27/11/1994,TN,3,2,0,36.42,-88.73,36.48,-88.65,9.66,274.32," ,Latham,Weakley County,Tennessee, ","Austin Springs Road, ,Weakley County,Tennessee,38226"
34187,1994,11,27,27/11/1994,TN,3,3,1,35.77,-89.47,35.87,-89.17,25.75,91.44,"Aubrey Lane, ,Lauderdale County,Tennessee, "," ,Crockett Mills,Crockett County,Tennessee,38021"
34188,1994,11,27,27/11/1994,TN,3,25,3,35.07,-89.83,35.32,-89.65,25.75,182.88,"Baintree Cove, ,Shelby County,Tennessee,38119","Galloway Levee Road, ,Shelby County,Tennessee,38002"
34195,1995,1,6,06/01/1995,LA,1,0,0,31.52,-92.23,31.62,-92.05,24.14,18.29,"May Haw Hollow Road, ,La Salle Parish,Louisiana, ","State Route 460,Sharp Town,La Salle Parish,Louisiana,71342"
34196,1995,1,6,06/01/1995,LA,1,8,0,30.23,-92.18,30.23,-92.1,8.05,27.43,"Hanks Road, ,Lafayette Parish,Louisiana,70529","Boxview Street, ,Lafayette Parish,Louisiana,70583"
34205,1995,1,7,07/01/1995,FL,2,20,1,29,-82.12,29,-81.92,19.31,402.34,"CR 475,Pedro,Marion County,Florida,34320","Southeast 152nd Place,Stanton,Marion County,Florida,32195"
34206,1995,1,7,07/01/1995,LA,1,0,0,30.95,-92.07,31.1,-91.92,27.36,21.03," , ,Avoyelles Parish,Louisiana, ","Highway 451, ,Avoyelles Parish,Louisiana,71355"
34211,1995,1,12,12/01/1995,TX,1,0,0,30.02,-93.85,30.1,-93.73,16.09,182.88,"Pine Lane, ,Orange County,Texas,77611","1st Street, ,Orange County,Texas,77630"
34219,1995,1,18,18/01/1995,LA,1,1,0,30.38,-91.23,30.45,-91.22,8.05,27.43," ,Brusly Landing,West Baton Rouge Parish,Louisiana,70719","Heliotrope Street, ,West Baton Rouge Parish,Louisiana,70767"
34221,1995,1,18,18/01/1995,LA,1,0,1,31.15,-92.5,31.2,-92.35,8.05,18.29,"Castor Plunge Road, ,Rapides Parish,Louisiana,71485","LA 1,Latanier,Rapides Parish,Louisiana, "
34225,1995,1,19,19/01/1995,GA,0,0,0,34.23,-83.62,34.4,-83.57,17.7,30.18,"Marlow Road, ,Jackson County,Georgia,30558","Wynn Lake Road, ,Banks County,Georgia,30510"
34233,1995,2,16,16/02/1995,AL,1,0,0,34.13,-87.87,34.22,-87.77,9.66,73.15,"Marion County 57, ,Marion County,Alabama, ","Grady Cole Road, ,Marion County,Alabama, "
34234,1995,2,16,16/02/1995,AL,2,3,0,34.33,-86.22,34.4,-86,19.31,640.08,"Rice Mill Road, ,Marshall County,Alabama,35951","County Road 343, ,DeKalb County,Alabama,35971"
34235,1995,2,16,16/02/1995,AL,3,130,6,34.25,-86.58,34.27,-86.32,22.53,642.82,"County Road 1757, ,Cullman County,Alabama,35087","Teal Road, ,Marshall County,Alabama,35950"
34262,1995,3,8,08/03/1995,FL,0,0,0,28.32,-82.23,28.37,-82.18,6.44,21.03," , ,Pasco County,Florida,33525","Rozar Court, ,Pasco County,Florida,33525"
34285,1995,3,25,25/03/1995,TX,1,0,0,36.15,-100.52,36.18,-100.42,8.05,182.88," , ,Lipscomb County,Texas, "," , ,Lipscomb County,Texas, "
34292,1995,4,8,08/04/1995,KS,0,0,0,39.77,-95.27,39.75,-94.95,19.31,91.44,"180th Road, ,Doniphan County,Kansas, ","Monument Road, ,Doniphan County,Kansas,66090"
34296,1995,4,11,11/04/1995,AL,1,0,0,32.52,-86.37,32.53,-86.3,6.44,91.44," ,Springfield,Elmore County,Alabama,36054","Bellingrath Road, ,Elmore County,Alabama,36020"
34299,1995,4,11,11/04/1995,MS,1,0,1,31.12,-90.05,31.12,-89.95,8.05,27.43,"Pushapatapa Road, ,Walthall County,Mississippi, ","Joe Pittman Road, ,Walthall County,Mississippi, "
34300,1995,4,11,11/04/1995,MS,2,0,0,31,-90.08,31.25,-89.68,37.01,457.2," , ,Washington Parish,Louisiana, ","East Baylis Chapel Road, ,Marion County,Mississippi,39429"
34318,1995,4,17,17/04/1995,OK,1,0,0,34.38,-98.02,34.4,-97.92,8.05,365.76,"Dr Pepper Road, ,Stephens County,Oklahoma,73529","Oliver Road, ,Stephens County,Oklahoma,73529"
34322,1995,4,17,17/04/1995,OK,2,0,0,35.85,-95.3,35.87,-95.22,7.24,112.47," , ,Wagoner County,Oklahoma,74446"," , ,Cherokee County,Oklahoma,76434"
34323,1995,4,17,17/04/1995,OK,2,0,0,35.75,-95.05,35.78,-94.97,11.27,182.88,"South Burnt Cabin Road,Qualls,Cherokee County,Oklahoma, ","South Indian Road,Pettit,Cherokee County,Oklahoma,74451"
34337,1995,4,19,19/04/1995,MO,0,0,0,36.07,-89.87,36.1,-89.83,8.05,45.72,"County Road 750, ,Pemiscot County,Missouri,63853","County Road 456, ,Pemiscot County,Missouri,63853"
34366,1995,4,19,19/04/1995,TX,1,8,0,32.78,-96.92,32.82,-96.73,9.66,91.44,"Ruder Street, ,Dallas County,Texas,75212","White Rock Road, ,Dallas County,Texas,75214"
34367,1995,4,19,19/04/1995,TX,2,0,0,32.73,-97.32,32.8,-97.33,8.05,45.72,"South Freeway, ,Tarrant County,Texas,76104","Hutchinson Street, ,Tarrant County,Texas,76106"
34368,1995,4,20,20/04/1995,AL,1,6,0,33.68,-88.2,33.73,-88.15,6.44,73.15,"Patterson Road, ,Lamar County,Alabama, ","Sailor Road, ,Lamar County,Alabama, "
34369,1995,4,20,20/04/1995,AL,1,17,0,34.17,-87.68,34.25,-87.6,9.66,109.73,"Lauderdale Road, ,Marion County,Alabama, ","Littleville Road, ,Winston County,Alabama,35565"
34383,1995,4,20,20/04/1995,MS,2,0,0,33.3,-88.62,33.58,-88.32,51.5,91.44,"Harvey Gray Road, ,Lowndes County,Mississippi,39743","Dickerson Road, ,Lowndes County,Mississippi,39766"
34388,1995,4,21,21/04/1995,TN,1,1,0,35.03,-85.55,35.07,-85.45,8.05,21.03,"Dixie Highway West,Rankin Cove,Marion County,Tennessee,37347","Game Reserve Road, ,Marion County,Tennessee, "
34390,1995,4,21,21/04/1995,TN,2,0,0,35.15,-85.28,35.05,-85.28,8.05,301.75,"McCahill Road,Cross Creek,Hamilton County,Tennessee,37415","Scruggs Street, ,Hamilton County,Tennessee,37403"
34401,1995,4,22,22/04/1995,MS,0,0,0,31.25,-90.45,31.25,-90.38,8.05,18.29,"Elmwood Street, ,Pike County,Mississippi,39648"," , ,Pike County,Mississippi, "
34404,1995,4,22,22/04/1995,MS,1,0,0,32.9,-90.7,32.8,-90.57,12.87,182.88," , ,Sharkey County,Mississippi, "," , ,Yazoo County,Mississippi, "
34410,1995,4,24,24/04/1995,FL,2,5,0,29.65,-81.73,29.75,-81.52,16.09,320.04,"Cow Pen Road, ,Putnam County,Florida,32147"," , ,Saint Johns County,Florida, "
34419,1995,5,1,01/05/1995,SC,0,0,0,35.08,-81.63,35.12,-81.5,14.48,45.72,"8th Street,East Gaffney,Cherokee County,South Carolina,29340","Columbia Street,Easterly Heights,Cherokee County,South Carolina,29702"
34427,1995,5,7,07/05/1995,MO,1,0,0,37.4,-94.6,37.48,-94.6,8.05,91.44,"State Highway 126, ,Barton County,Missouri,64832","9th Street, ,Barton County,Missouri,64769"
34434,1995,5,7,07/05/1995,OK,1,0,0,34.67,-97.1,34.7,-97,9.66,182.88," , ,Garvin County,Oklahoma, ","CR N3370, ,Garvin County,Oklahoma,74872"
34438,1995,5,7,07/05/1995,OK,2,0,0,35.1,-96.38,35.2,-96.25,9.66,45.72,"East West 132 Road, ,Hughes County,Oklahoma,74848","US 75, ,Hughes County,Oklahoma,74883"
34446,1995,5,7,07/05/1995,TX,0,0,0,32.1,-98.97,32.22,-98.68,28.97,9.14,"West Pioneer Street, ,Eastland County,Texas,76471","TX 6, ,Eastland County,Texas,76454"
34449,1995,5,7,07/05/1995,TX,1,0,0,30.4,-95.28,30.53,-95.22,12.87,45.72,"Magnolia Drive, ,Montgomery County,Texas,77303","Farm-to-Market Road 945,Evergreen,San Jacinto County,Texas, "
34451,1995,5,7,07/05/1995,TX,1,0,0,32.05,-99.02,32.08,-98.93,8.05,9.14,"County Road 426,Williams,Brown County,Texas, ","County Road 377, ,Eastland County,Texas,76471"
34453,1995,5,7,07/05/1995,TX,1,4,0,32.83,-97.25,32.93,-97.08,16.09,274.32,"Circleview Drive, ,Tarrant County,Texas,76180","Daniel Street, ,Tarrant County,Texas,76051"
34456,1995,5,7,07/05/1995,TX,2,12,1,34.98,-102,35.17,-101.87,19.31,182.88,"Davis Road, ,Randall County,Texas,79015","Mays Avenue, ,Randall County,Texas,79109"
34457,1995,5,7,07/05/1995,TX,3,11,2,33.52,-97.53,33.8,-97.43,41.84,804.67,"Farm-to-Market Road 922, ,Montague County,Texas,76239","Farm-to-Market Road 373, ,Cooke County,Texas,76252"
34458,1995,5,7,07/05/1995,TX,3,6,3,33.8,-97.43,34.2,-97.17,54.88,804.67,"Farm-to-Market Road 373, ,Cooke County,Texas,76252"," , ,Carter County,Oklahoma,73402"
34463,1995,5,8,08/05/1995,MS,1,0,0,31.12,-90.95,31.33,-90.7,24.14,30.18,"Causey Road, ,Amite County,Mississippi,39638"," ,Mount Olive,Amite County,Mississippi,39664"
34464,1995,5,8,08/05/1995,MS,2,0,0,32.25,-89.78,32.35,-89.7,11.27,402.34,"Bradshaw Road,Cross Roads,Rankin County,Mississippi,39145","Morton-Rankin County Line Road, ,Scott County,Mississippi,39117"
34466,1995,5,8,08/05/1995,NE,0,0,0,40.45,-96.38,40.52,-96.33,6.44,137.16,"733 Road, ,Johnson County,Nebraska,68443","613 Avenue, ,Johnson County,Nebraska,68324"
34491,1995,5,9,09/05/1995,IA,2,0,0,41.82,-91.32,41.9,-91.27,11.27,91.44,"Cider Avenue, ,Cedar County,Iowa,52253","Franklin Avenue, ,Cedar County,Iowa,52306"
34492,1995,5,9,09/05/1995,IA,3,0,0,41.58,-90.87,41.72,-90.88,16.09,66.75,"110th Street, ,Muscatine County,Iowa,52769","10th Avenue, ,Scott County,Iowa,52765"
34495,1995,5,9,09/05/1995,IL,0,0,0,41.37,-89.58,41.37,-89.47,8.05,66.75,"East North Street, ,Bureau County,Illinois,61379","South Randolph Street, ,Bureau County,Illinois,61356"
34506,1995,5,9,09/05/1995,IL,1,2,0,40.47,-89.7,40.52,-89.63,6.44,201.17,"Prairie Road, ,Tazewell County,Illinois,61534","14th Street, ,Tazewell County,Illinois,61554"
34507,1995,5,9,09/05/1995,IL,1,0,0,40.25,-88.97,40.35,-88.77,20.92,201.17,"Carle Spring Road,Carle Springs,DeWitt County,Illinois,61777","North Hemlock Street, ,McLean County,Illinois,61752"
34511,1995,5,9,09/05/1995,IL,1,0,0,40.65,-88.13,40.72,-88.07,8.05,36.58,"East 1700 North Road, ,Ford County,Illinois,60962","East 1500 North Road, ,Iroquois County,Illinois,60955"
34512,1995,5,9,09/05/1995,IL,3,6,0,39.88,-89.73,40.22,-89.12,80.47,804.67," , ,Sangamon County,Illinois, ","100 East, ,DeWitt County,Illinois,61778"
34513,1995,5,9,09/05/1995,IL,3,0,0,41.3,-89.8,41.57,-89.57,35.41,274.32,"1050 North Avenue, ,Bureau County,Illinois,61345","1500 East Street, ,Bureau County,Illinois,61376"
34532,1995,5,12,12/05/1995,FL,0,0,0,29.62,-82.82,29.68,-82.75,8.05,9.14,"Northwest 11th Avenue, ,Gilchrist County,Florida,32693"," , ,Gilchrist County,Florida, "
34539,1995,5,12,12/05/1995,KS,1,0,0,39.05,-98.62,39.05,-98.53,6.44,45.72,"Fairport Road, ,Russell County,Kansas, ","South Harvest Street, ,Russell County,Kansas,67648"
34541,1995,5,12,12/05/1995,KS,2,1,0,39.42,-101.05,39.37,-100.7,28.97,1371.6,"Redwood Street, ,Thomas County,Kansas,67701"," , ,Sheridan County,Kansas, "
34553,1995,5,13,13/05/1995,IL,1,0,0,40.93,-89.77,40.93,-89.63,11.27,201.17,"IL 90, ,Peoria County,Illinois,61559","IL 90, ,Peoria County,Illinois,61526"
34554,1995,5,13,13/05/1995,IL,1,0,0,40.35,-88.72,40.35,-88.63,6.44,201.17,"North 2825 East Road, ,McLean County,Illinois,61752","North 3300 East Road, ,McLean County,Illinois,61722"
34555,1995,5,13,13/05/1995,IL,2,2,0,40.73,-90.38,40.82,-90.15,22.53,804.67,"IL 116, ,Knox County,Illinois,61474","Knox Road 750 North, ,Knox County,Illinois,61458"
34556,1995,5,13,13/05/1995,IL,3,25,0,40.42,-89.93,40.52,-89.48,40.23,804.67," , ,Mason County,Illinois, ","I 155, ,Tazewell County,Illinois,61568"
34557,1995,5,13,13/05/1995,IL,4,7,0,40.58,-91.31,40.74,-90.44,80.47,914.4,"IL 96, ,Hancock County,Illinois,62354","Sportsman Road, ,Knox County,Illinois,61474"
34558,1995,5,13,13/05/1995,IL,4,45,0,40.37,-90.3,40.42,-90.12,11.27,804.67," , ,Fulton County,Illinois, "," , ,Fulton County,Illinois,61542"
34562,1995,5,13,13/05/1995,IN,2,0,0,39.77,-86.17,39.85,-86.07,10.46,365.76,"Indianapolis Cultural Trail, ,Marion County,Indiana,46202","Roxbury Court, ,Marion County,Indiana,46226"
34563,1995,5,13,13/05/1995,IN,2,10,3,39.98,-86.9,39.97,-86.57,22.53,228.6,"East 400 S, ,Montgomery County,Indiana,47965","South 550 W, ,Boone County,Indiana,46147"
34567,1995,5,13,13/05/1995,KY,2,0,0,37.83,-85.8,37.97,-85.55,24.14,182.88," , ,Hardin County,Kentucky, ","Cedar Grove Road, ,Bullitt County,Kentucky,40165"
34568,1995,5,13,13/05/1995,KY,2,0,0,37.18,-88.13,37.2,-87.98,12.87,66.75,"Tabor Road, ,Crittenden County,Kentucky,42037","Tosh Cem Road, ,Caldwell County,Kentucky, "
34569,1995,5,13,13/05/1995,MO,2,3,0,40.47,-92.02,40.5,-91.82,12.87,182.88,"State Highway H, ,Scotland County,Missouri,63432","County Road 55,Chambersburg,Clark County,Missouri, "
34578,1995,5,14,14/05/1995,TX,3,0,0,31.47,-100.15,31.4,-100.12,8.05,91.44,"FM 380; FM 1692, ,Tom Green County,Texas,76940","Farm-to-Market Road 765, ,Tom Green County,Texas,76908"
34586,1995,5,15,15/05/1995,KS,3,3,0,37.97,-100.62,37.97,-100.52,9.66,822.96,"C Road, ,Gray County,Kansas,67853","County Road 9, ,Gray County,Kansas, "
34606,1995,5,16,16/05/1995,KS,1,0,0,38.77,-95.25,38.67,-95.07,16.09,91.44,"North 200 Road, ,Douglas County,Kansas,66006"," , ,Franklin County,Kansas,66092"
34608,1995,5,16,16/05/1995,KS,1,5,0,38.45,-95,38.47,-94.83,12.87,66.75," , ,Miami County,Kansas, ","West 363rd Street, ,Miami County,Kansas,66064"
34610,1995,5,16,16/05/1995,KS,3,0,0,37.88,-100.9,38.02,-100.87,16.09,731.52," , ,Finney County,Kansas, ","East Rodkey Road, ,Finney County,Kansas,67846"
34611,1995,5,16,16/05/1995,KS,3,0,0,38.08,-99.63,38.17,-99.6,11.27,914.4," , ,Hodgeman County,Kansas, ","KS 156, ,Hodgeman County,Kansas,67523"
34618,1995,5,17,17/05/1995,MO,1,0,0,38.4,-94.5,38.4,-94.43,8.05,66.75,"State Highway 18, ,Bates County,Missouri,64720","State Highway 18, ,Bates County,Missouri,64720"
34619,1995,5,17,17/05/1995,MO,3,9,0,37.83,-94.47,37.88,-94.18,22.53,365.76,"South 900 Road, ,Vernon County,Missouri,64741","Lauderback Road, ,Vernon County,Missouri, "
34621,1995,5,17,17/05/1995,OK,2,0,0,36.47,-98.57,36.53,-98.35,19.31,365.76,"CR N2490, ,Woods County,Oklahoma,73716"," ,McWillie,Alfalfa County,Oklahoma, "
34624,1995,5,18,18/05/1995,AL,1,0,0,34.75,-87.58,34.85,-87.5,10.46,137.16,"Gnat Pond Road, ,Colbert County,Alabama,39674","Brooks Drive, ,Lauderdale County,Alabama,35645"
34626,1995,5,18,18/05/1995,AL,4,55,1,34.83,-87.03,34.8,-86.25,62.76,1188.72,"Oneal Road, ,Limestone County,Alabama,35614","AL 65,Garth,Jackson County,Alabama,35751"
34629,1995,5,18,18/05/1995,IL,0,0,0,38.32,-89.8,38.32,-89.65,12.87,109.73,"New Athens Darmstadt Road,Darmstadt,Saint Clair County,Illinois,62255","Darmstadt Road, ,Washington County,Illinois,62214"
34630,1995,5,18,18/05/1995,IL,0,0,0,38.2,-89.68,38.22,-89.57,9.66,64.01,"Vine Street, ,Randolph County,Illinois,62292","Perry County Line Road, ,Perry County,Illinois,62237"
34631,1995,5,18,18/05/1995,IL,0,0,0,38.2,-89.65,38.2,-89.6,5.63,45.72,"IL 13, ,Randolph County,Illinois,62237","Poplar Street, ,Randolph County,Illinois,62237"
34632,1995,5,18,18/05/1995,IL,0,0,0,38.35,-89.52,38.38,-89.38,12.07,54.86," , ,Washington County,Illinois, ","Mockingbird Road, ,Washington County,Illinois,62263"
34635,1995,5,18,18/05/1995,IL,1,0,0,38.25,-90.18,38.32,-90.15,7.24,91.44,"Bushy Prairie Road, ,Monroe County,Illinois,62244","Holstein Place, ,Monroe County,Illinois,62298"
34636,1995,5,18,18/05/1995,IL,1,0,0,38.25,-90.18,38.32,-90.12,9.66,182.88,"Bushy Prairie Road, ,Monroe County,Illinois,62244","IL 156, ,Monroe County,Illinois,62298"
34637,1995,5,18,18/05/1995,IL,1,0,0,38.27,-90.08,38.3,-90.02,7.72,137.16," , ,Monroe County,Illinois, ","L Road, ,Monroe County,Illinois,62298"
34638,1995,5,18,18/05/1995,IL,1,0,0,38.38,-89.5,38.42,-89.27,28.97,182.88,"Raven Road, ,Washington County,Illinois, ","Maple Road, ,Washington County,Illinois,62803"
34640,1995,5,18,18/05/1995,IL,2,0,0,38.23,-90.28,38.3,-90.2,6.44,274.32," , ,Monroe County,Illinois,62256"," ,Wartburg,Monroe County,Illinois, "
34641,1995,5,18,18/05/1995,IL,2,0,0,38.25,-90.13,38.28,-90.08,6.76,155.45,"G Road, ,Monroe County,Illinois,62298","Kk Road, ,Monroe County,Illinois,62298"
34653,1995,5,18,18/05/1995,KY,2,0,0,36.87,-87.75,36.82,-87.53,16.09,66.75,"Old Hopkinsville Road, ,Trigg County,Kentucky, ","Gary Lane,West Brook,Christian County,Kentucky,42240"
34660,1995,5,18,18/05/1995,KY,2,0,0,37.38,-83.38,37.35,-82.95,38.62,91.44,"Elige Roberts Road,Altro,Breathitt County,Kentucky,41339","East Main Street,Leburn,Knott County,Kentucky,41822"
34661,1995,5,18,18/05/1995,KY,2,0,0,36.98,-86.33,36.98,-86.22,8.05,91.44,"Porter Pike, ,Warren County,Kentucky,42103","Will Bohannon Road, ,Warren County,Kentucky,42171"
34668,1995,5,18,18/05/1995,MD,2,0,0,38.87,-76,38.87,-75.8,16.09,182.88,"Cordova Road,Chapel Station,Talbot County,Maryland,21625"," , ,Caroline County,Maryland,21629"
34670,1995,5,18,18/05/1995,MO,1,0,0,37.13,-89.78,37.28,-89.57,12.87,45.72,"County Road 274, ,Stoddard County,Missouri,63774","Wolverine Road, ,Cape Girardeau County,Missouri,63701"
34671,1995,5,18,18/05/1995,MO,2,3,0,38.17,-90.48,38.25,-90.38,11.59,137.16,"Jacobs Lane, ,Jefferson County,Missouri,63028"," , ,Jefferson County,Missouri,63048"
